trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
0,a99d58a8-9a37-4f6d-b855-38f2bafd87a2,xgb_coarse_full_greedy,greedy,"(18, 53)","(21, 54)",5,5,True,0.0,0.8770477026700974,15.908699948340654,"[[18, 53], [19, 53], [20, 53], [20, 54], [21, 54]]","[[18, 53], [19, 53], [20, 53], [20, 54], [21, 54]]"
1,7438d153-8078-4c6b-b915-804ed5b35da0,xgb_coarse_full_greedy,greedy,"(25, 33)","(22, 31)",8,8,True,0.0,0.9746091536113194,27.22749998793006,"[[25, 33], [25, 32], [24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31]]","[[25, 33], [25, 32], [24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31]]"
2,b44564ae-54ce-4a0b-b6e3-0d1f5ac541bc,xgb_coarse_full_greedy,greedy,"(21, 17)","(17, 18)",8,8,True,0.0,0.9323687894003732,27.84690004773438,"[[21, 17], [21, 18], [20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]","[[21, 17], [21, 18], [20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]"
3,094c2acf-a0f6-471a-a234-41e550666671,xgb_coarse_full_greedy,greedy,"(24, 32)","(22, 34)",9,11,True,625.5278933130984,0.9609287083148956,35.33380012959242,"[[24, 32], [25, 32], [24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34]]","[[24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34]]"
4,e5bfcc7c-4903-4341-a366-f65c5191dee7,xgb_coarse_full_greedy,greedy,"(23, 55)","(21, 53)",5,5,True,0.0,0.951540008187294,14.93750000372529,"[[23, 55], [22, 55], [22, 54], [21, 54], [21, 53]]","[[23, 55], [22, 55], [22, 54], [21, 54], [21, 53]]"
5,44c10bb0-f550-42bd-81a0-dff2c6911d4f,xgb_coarse_full_greedy,greedy,"(22, 31)","(21, 37)",8,8,True,0.0,0.9913441794259208,22.81960006803274,"[[22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]","[[22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]"
6,da4214ce-9b16-4d89-a45e-664f1790cb6a,xgb_coarse_full_greedy,greedy,"(16, 50)","(20, 41)",16,16,True,624.3494368675101,0.9314941167831421,51.70359998010099,"[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [16, 46], [16, 45], [17, 45], [17, 44], [18, 44], [18, 43], [19, 43], [19, 42], [20, 42], [20, 41]]","[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [16, 47], [16, 46], [16, 45], [17, 45], [17, 44], [18, 44], [18, 43], [19, 43], [19, 42], [20, 42], [20, 41]]"
7,90674131-f3e5-441e-8a07-1600bfb9f5a7,xgb_coarse_full_greedy,greedy,"(15, 53)","(14, 50)",5,5,True,624.9932016451236,0.8410188853740692,12.212600093334913,"[[15, 53], [15, 52], [15, 51], [14, 51], [14, 50]]","[[15, 53], [15, 52], [14, 52], [14, 51], [14, 50]]"
8,7e8e2836-4b82-4686-8e56-8f60530e15ab,xgb_coarse_full_greedy,greedy,"(24, 32)","(21, 53)",57,39,True,5840.197755185525,0.9513013896189237,112.15989990159869,"[[24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37], [20, 37], [20, 38], [19, 38], [19, 39], [18, 39], [18, 40], [18, 41], [18, 42], [17, 42], [17, 43], [17, 44], [17, 45], [17, 46], [17, 47], [17, 48], [17, 49], [16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [19, 52], [20, 52], [20, 53], [21, 53]]","[[24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 29], [21, 29], [20, 29], [20, 28], [19, 28], [18, 28], [17, 28], [17, 29], [16, 29], [16, 30], [15, 30], [15, 31], [14, 31], [14, 32], [13, 32], [13, 33], [12, 33], [12, 34], [11, 34], [10, 34], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [11, 39], [11, 40], [11, 41], [12, 41], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [14, 46], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [17, 49], [16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [19, 52], [20, 52], [20, 53], [21, 53]]"
9,83b99f55-333e-46df-bed4-b5f3fa1bcc25,xgb_coarse_full_greedy,greedy,"(16, 50)","(10, 37)",22,22,True,0.0,0.9287073214848837,61.457799980416894,"[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [12, 43], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [11, 38], [10, 38], [10, 37]]","[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [12, 43], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [11, 38], [10, 38], [10, 37]]"
10,689491f4-d3ce-437e-8b93-7dbf1e204a56,xgb_coarse_full_greedy,greedy,"(16, 50)","(21, 37)",53,21,True,5840.197755185525,0.9493600338697433,56.658599991351366,"[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [16, 46], [16, 45], [17, 45], [17, 44], [17, 43], [17, 42], [18, 42], [18, 41], [18, 40], [18, 39], [19, 39], [19, 38], [20, 38], [20, 37], [21, 37]]","[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [13, 42], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [10, 39], [10, 38], [10, 37], [10, 36], [10, 35], [10, 34], [11, 34], [11, 33], [12, 33], [12, 32], [13, 32], [13, 31], [14, 31], [14, 30], [15, 30], [16, 30], [16, 29], [17, 29], [17, 28], [18, 28], [19, 28], [20, 28], [20, 29], [21, 29], [21, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]"
11,d139e44d-7a1d-42b0-85a6-7bf183ddebea,xgb_coarse_full_greedy,greedy,"(21, 11)","(21, 53)",25,25,True,625.4165472263625,0.8941869835058848,95.79010005109012,"[[21, 11], [21, 10], [21, 9], [22, 9], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [22, 3], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [22, 58], [22, 57], [22, 56], [21, 56], [21, 55], [21, 54], [21, 53]]","[[21, 11], [21, 10], [21, 9], [21, 8], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [22, 3], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [22, 58], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54], [21, 53]]"
12,c15e0b7e-cedc-4b8e-9e15-b30213abda6d,xgb_coarse_full_greedy,greedy,"(19, 51)","(18, 49)",8,8,True,0.0,0.9898667250360761,19.14110011421144,"[[19, 51], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50], [17, 49], [18, 49]]","[[19, 51], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50], [17, 49], [18, 49]]"
13,c1f56d8f-3f1b-4e70-9015-2f7d6a61be9d,xgb_coarse_full_greedy,greedy,"(21, 11)","(19, 4)",10,10,True,0.0,0.9727432131767273,25.83429985679686,"[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]","[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]"
14,b795f20d-5779-48c4-9a47-7b3071121dbb,xgb_coarse_full_greedy,greedy,"(22, 53)","(22, 56)",6,6,True,0.0,0.9907955408096314,13.10029998421669,"[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]","[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]"
15,da2acb53-02bd-4ac1-8481-6ebff5866e0f,xgb_coarse_full_greedy,greedy,"(16, 49)","(19, 44)",9,9,True,624.3494368675101,0.9531900137662888,24.364399956539273,"[[16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]","[[16, 49], [16, 48], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]"
16,fe6af177-8f6c-4b0e-b8cf-80bdd1edceb8,xgb_coarse_full_greedy,greedy,"(11, 58)","(22, 53)",21,21,True,586.3020510617911,0.9393588781356812,55.82779995165765,"[[11, 58], [11, 59], [11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [19, 54], [20, 54], [21, 54], [21, 53], [22, 53]]","[[11, 58], [11, 59], [11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [20, 55], [20, 54], [21, 54], [21, 53], [22, 53]]"
17,204d50e4-5d87-4486-9bb6-0e20b2a0c845,xgb_coarse_full_greedy,greedy,"(12, 63)","(20, 51)",23,21,True,625.5278933130984,0.8851855427026749,57.25189996883273,"[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]","[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [16, 60], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]"
