trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
38,89e600c7-4a28-42ec-896b-c7bd2069e50c,xgb_coarse_simple_cisc,cisc,"(21, 54)","(24, 10)",26,24,True,625.5278933130984,0.9285571601079858,874.7358999680728,"[[21, 54], [22, 54], [22, 55], [22, 56], [23, 56], [23, 57], [23, 58], [24, 58], [24, 59], [24, 60], [24, 61], [24, 62], [24, 63], [24, 0], [24, 1], [24, 2], [24, 3], [24, 4], [24, 5], [24, 6], [24, 7], [24, 8], [24, 9], [24, 10]]","[[21, 54], [22, 54], [22, 55], [22, 56], [23, 56], [23, 57], [23, 58], [23, 59], [23, 60], [23, 61], [24, 61], [24, 62], [24, 63], [24, 0], [24, 1], [24, 2], [25, 2], [25, 3], [25, 4], [25, 5], [25, 6], [24, 6], [24, 7], [24, 8], [24, 9], [24, 10]]"
39,4510be2c-8542-4e85-9cfe-9b61e580f7e0,xgb_coarse_simple_cisc,cisc,"(22, 56)","(22, 53)",6,6,True,0.0,0.9561194181442261,179.69310004264116,"[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]"
40,6e485f32-54a0-4fc4-9823-8ffef1420bde,xgb_coarse_simple_cisc,cisc,"(17, 45)","(23, 20)",46,32,True,6172.073912899844,0.9407343345303689,1330.0091000273824,"[[17, 45], [17, 44], [17, 43], [18, 43], [18, 42], [18, 41], [18, 40], [18, 39], [19, 39], [19, 38], [20, 38], [20, 37], [21, 37], [21, 36], [21, 35], [22, 35], [22, 34], [22, 33], [22, 32], [22, 31], [22, 30], [22, 29], [22, 28], [23, 28], [23, 27], [23, 26], [23, 25], [23, 24], [23, 23], [23, 22], [23, 21], [23, 20]]","[[17, 45], [16, 45], [16, 44], [15, 44], [15, 43], [15, 42], [14, 42], [14, 41], [14, 40], [13, 40], [13, 39], [12, 39], [12, 38], [11, 38], [11, 37], [10, 37], [10, 36], [10, 35], [10, 34], [10, 33], [11, 33], [11, 32], [12, 32], [12, 31], [13, 31], [13, 30], [14, 30], [14, 29], [15, 29], [15, 28], [16, 28], [17, 28], [17, 27], [18, 27], [18, 26], [19, 26], [19, 25], [20, 25], [20, 24], [21, 24], [21, 23], [21, 22], [22, 22], [22, 21], [23, 21], [23, 20]]"
41,9c88dee7-3358-4fd0-a9eb-f518ae1f2a05,xgb_coarse_simple_cisc,cisc,"(20, 18)","(17, 18)",6,4,True,586.3012559876005,0.8764566779136658,99.87689997069538,"[[20, 18], [19, 18], [18, 18], [17, 18]]","[[20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]"
42,6ee0be85-aa3b-4485-9b33-cc519271dd81,xgb_coarse_simple_cisc,cisc,"(24, 32)","(23, 20)",16,14,True,625.4167593141468,0.8640826522157743,466.1024999804795,"[[24, 32], [24, 31], [24, 30], [24, 29], [24, 28], [24, 27], [24, 26], [23, 26], [23, 25], [23, 24], [23, 23], [23, 22], [23, 21], [23, 20]]","[[24, 32], [24, 31], [24, 30], [24, 29], [24, 28], [24, 29], [24, 28], [24, 27], [24, 26], [24, 25], [24, 24], [24, 23], [24, 22], [23, 22], [23, 21], [23, 20]]"
43,cba5b126-e90d-41d9-bc1e-cde0683d8372,xgb_coarse_simple_cisc,cisc,"(23, 20)","(20, 18)",6,6,True,0.0,0.8920613765716553,180.79890008084476,"[[23, 20], [22, 20], [22, 19], [21, 19], [21, 18], [20, 18]]","[[23, 20], [22, 20], [22, 19], [21, 19], [21, 18], [20, 18]]"
44,bbbf8797-0df4-41f9-ac7b-5113dde289e1,xgb_coarse_simple_cisc,cisc,"(19, 46)","(16, 49)",7,7,True,617.4683591415277,0.8512078821659088,242.60660004802048,"[[19, 46], [18, 46], [18, 47], [17, 47], [17, 48], [17, 49], [16, 49]]","[[19, 46], [18, 46], [18, 47], [18, 48], [17, 48], [17, 49], [16, 49]]"
45,e185c320-348e-484a-a896-f162b1769d35,xgb_coarse_simple_cisc,cisc,"(17, 50)","(20, 52)",6,6,True,0.0,0.9621145963668823,183.24190005660057,"[[17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52]]","[[17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52]]"
46,d84d6843-1b26-4b60-b783-d200e2e64181,xgb_coarse_simple_cisc,cisc,"(16, 50)","(19, 52)",6,6,True,0.0,0.9605992674827576,204.10159998573363,"[[16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52]]","[[16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52]]"
47,2b276873-c6d0-4159-be58-186e1e42ae65,xgb_coarse_simple_cisc,cisc,"(16, 49)","(21, 52)",11,11,True,0.0,0.9150828540325164,363.40279993601143,"[[16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52], [20, 53], [21, 53], [21, 52]]","[[16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52], [20, 53], [21, 53], [21, 52]]"
48,b54a1ffd-7038-481c-b504-2be014853217,xgb_coarse_simple_cisc,cisc,"(20, 52)","(17, 50)",6,6,True,0.0,0.9689622282981872,174.32200000621378,"[[20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]","[[20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]"
49,4dd00d7f-729d-489b-9498-0891351a99f7,xgb_coarse_simple_cisc,cisc,"(18, 49)","(19, 51)",8,6,True,586.1978963401234,0.9730888962745666,167.85389999859035,"[[18, 49], [17, 49], [17, 50], [17, 51], [18, 51], [19, 51]]","[[18, 49], [17, 49], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [19, 51]]"
