trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
13,c1f56d8f-3f1b-4e70-9015-2f7d6a61be9d,shortest_path,dijkstra,"(21, 11)","(19, 4)",10,10,True,586.3020510617911,,0.5477999802678823,"[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [21, 6], [20, 6], [20, 5], [19, 5], [19, 4]]","[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]"
14,b795f20d-5779-48c4-9a47-7b3071121dbb,shortest_path,dijkstra,"(22, 53)","(22, 56)",6,4,True,625.4165472263625,,0.16099982894957066,"[[22, 53], [22, 54], [22, 55], [22, 56]]","[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]"
15,da2acb53-02bd-4ac1-8481-6ebff5866e0f,shortest_path,dijkstra,"(16, 49)","(19, 44)",9,9,True,1250.9447586711374,,0.4205000586807728,"[[16, 49], [17, 49], [17, 48], [18, 48], [18, 47], [19, 47], [19, 46], [19, 45], [19, 44]]","[[16, 49], [16, 48], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]"
16,fe6af177-8f6c-4b0e-b8cf-80bdd1edceb8,shortest_path,dijkstra,"(11, 58)","(22, 53)",21,17,True,863.9932255310553,,0.9371000342071056,"[[11, 58], [12, 58], [12, 57], [13, 57], [14, 57], [15, 57], [16, 57], [17, 57], [18, 57], [19, 57], [19, 56], [20, 56], [20, 55], [21, 55], [21, 54], [22, 54], [22, 53]]","[[11, 58], [11, 59], [11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [20, 55], [20, 54], [21, 54], [21, 53], [22, 53]]"
17,204d50e4-5d87-4486-9bb6-0e20b2a0c845,shortest_path,dijkstra,"(12, 63)","(20, 51)",23,21,True,1391.3253274148287,,1.4881999231874943,"[[12, 63], [13, 63], [13, 62], [14, 62], [14, 61], [15, 61], [15, 60], [16, 60], [16, 59], [17, 59], [17, 58], [18, 58], [18, 57], [19, 57], [19, 56], [20, 56], [20, 55], [20, 54], [20, 53], [20, 52], [20, 51]]","[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [16, 60], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]"
18,afb63ebc-fa8a-498d-87f9-cf5a7d0e7472,shortest_path,dijkstra,"(17, 18)","(21, 54)",37,39,True,1595.6383397436443,,3.7247000727802515,"[[17, 18], [18, 18], [18, 17], [19, 17], [19, 16], [20, 16], [20, 15], [20, 14], [20, 13], [20, 12], [21, 12], [21, 11], [21, 10], [22, 10], [23, 10], [23, 9], [24, 9], [24, 8], [24, 7], [24, 6], [24, 5], [24, 4], [24, 3], [24, 2], [24, 1], [24, 0], [24, 63], [24, 62], [24, 61], [24, 60], [24, 59], [24, 58], [24, 57], [23, 57], [23, 56], [22, 56], [22, 55], [21, 55], [21, 54]]","[[17, 18], [17, 17], [17, 16], [17, 15], [18, 15], [18, 14], [18, 13], [19, 13], [19, 12], [20, 12], [20, 11], [20, 10], [21, 10], [21, 9], [21, 8], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [23, 4], [23, 3], [23, 2], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [21, 59], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54]]"
19,9a37beae-694b-464e-9886-1c8b41cd9f72,shortest_path,dijkstra,"(19, 19)","(16, 50)",49,41,True,6980.145858859239,,5.253100069239736,"[[19, 19], [20, 19], [20, 20], [21, 20], [21, 21], [22, 21], [22, 22], [22, 23], [22, 24], [22, 25], [22, 26], [22, 27], [22, 28], [22, 29], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [22, 36], [21, 36], [21, 37], [20, 37], [20, 38], [19, 38], [19, 39], [18, 39], [18, 40], [18, 41], [18, 42], [18, 43], [18, 44], [18, 45], [18, 46], [18, 47], [18, 48], [17, 48], [17, 49], [16, 49], [16, 50]]","[[19, 19], [19, 20], [18, 20], [18, 21], [18, 22], [17, 22], [17, 23], [16, 23], [16, 24], [16, 25], [15, 25], [15, 26], [14, 26], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [10, 40], [11, 40], [11, 41], [11, 42], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [15, 45], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [16, 48], [16, 49], [16, 50]]"
20,523ddfad-a718-4792-8691-740932b194ba,shortest_path,dijkstra,"(22, 56)","(21, 53)",7,5,True,625.5278933130984,,0.17490005120635033,"[[22, 56], [22, 55], [22, 54], [21, 54], [21, 53]]","[[22, 56], [23, 56], [23, 55], [22, 55], [22, 54], [21, 54], [21, 53]]"
21,94e65e2c-b53d-4180-9c9d-b03c368f4fc9,shortest_path,dijkstra,"(21, 18)","(19, 44)",49,33,True,7708.520663093355,,4.4241000432521105,"[[21, 18], [22, 18], [22, 19], [22, 20], [22, 21], [22, 22], [22, 23], [22, 24], [22, 25], [22, 26], [22, 27], [22, 28], [22, 29], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [22, 36], [22, 37], [22, 38], [21, 38], [20, 38], [19, 38], [19, 39], [18, 39], [18, 40], [18, 41], [19, 41], [19, 42], [19, 43], [19, 44]]","[[21, 18], [21, 19], [20, 19], [20, 20], [20, 21], [19, 21], [19, 22], [18, 22], [18, 23], [17, 23], [17, 24], [16, 24], [16, 25], [15, 25], [15, 26], [14, 26], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [10, 31], [10, 32], [10, 33], [10, 34], [10, 35], [9, 35], [10, 35], [10, 36], [10, 37], [11, 37], [11, 38], [12, 38], [12, 39], [13, 39], [13, 40], [14, 40], [15, 40], [15, 41], [16, 41], [16, 42], [17, 42], [17, 43], [18, 43], [18, 44], [19, 44]]"
22,b0371530-095f-49b8-bb60-ba8fdd1bb7cb,shortest_path,dijkstra,"(22, 56)","(22, 53)",6,4,True,625.4165472263625,,0.16859988681972027,"[[22, 56], [22, 55], [22, 54], [22, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]"
