category,mean_abs_shap
depth,0.032717512035069306
vectors,0.028056546760017273
history,0.016441819368285666
wave,0.01483620668725892
beam,0.013818401551137675
wind,0.011545651944314386
current,0.010266728894533816
indices,0.00867830421096878
flags,0.0007795780525542796
vessel_characteristics,0.0
